filename,width,height,class,xmin,ymin,xmax,ymax
899919_b628999df406d670550d20c39dbf2bef.thumbnail.jpg,640,640,Dresses,15,5,615,640
12868416_62e8342ea10d7400811240ea62a980d1.thumbnail.jpg,640,640,Shorts,93,135,520,531
17865846_7422656e1e1bb1640ed52978c0bc2c48.thumbnail.jpg,421,640,Dresses,156,248,274,449
17381911_83a37ddabe3e818f21637124eaf66ee8.thumbnail.jpg,480,640,Dresses,38,95,436,570
12751655_5ed1e9da3c2ea30a0b9add64ae1ec4ad.thumbnail.jpg,630,630,Tops,145,84,466,371
12751655_5ed1e9da3c2ea30a0b9add64ae1ec4ad.thumbnail.jpg,630,630,Shorts,157,352,467,548
20244508_b65bf0ea74563d8cad0eb994dd1c7963.thumbnail.jpg,640,640,Tops,146,223,551,550
2681459_51c4f1f3dadd09a3d058e58089060851.thumbnail.jpg,640,640,Lingerie,88,10,565,640
2681459_51c4f1f3dadd09a3d058e58089060851.thumbnail.jpg,640,640,Lingerie,97,1,549,337
2681459_51c4f1f3dadd09a3d058e58089060851.thumbnail.jpg,640,640,Lingerie,82,351,568,640
26603504_84592925d6f8b6df01fe956b73e87cd8.thumbnail.jpg,640,640,Dresses,202,178,432,573
36002109_e65391788aeea34b5491dcee17cc2fe1.thumbnail.jpg,640,640,Pants_Leggings,126,273,289,481
36002109_e65391788aeea34b5491dcee17cc2fe1.thumbnail.jpg,640,640,Pants_Leggings,382,142,587,325
36002109_e65391788aeea34b5491dcee17cc2fe1.thumbnail.jpg,640,640,Pants_Leggings,347,377,549,539
6070547_40e32e56eaaca888beaff4063870d9fd.thumbnail.jpg,640,610,Dresses,90,16,596,610
42648651_80c1710f0ae2043c29be6bd143309aa8.thumbnail.jpg,640,640,Skirts,207,154,370,323
42648651_80c1710f0ae2043c29be6bd143309aa8.thumbnail.jpg,640,640,Tops,139,22,313,189
39405458_9a1ba4a002665fc8808c9e1d4ac7412a.thumbnail.jpg,500,500,Dresses,177,84,332,481
28861696_cfe6d32e2c0054e39c69b7c178139f21.thumbnail.jpg,520,640,Tops,15,84,499,556
14628219_7cbd4d82814074c928d9dc4e68861eba.thumbnail.jpg,640,580,Tops,265,220,463,429
14628219_7cbd4d82814074c928d9dc4e68861eba.thumbnail.jpg,640,580,Pants_Leggings,211,271,422,489
19993637_deb3abc4e0700ba0e232bfa1dfde43c1.thumbnail.jpg,520,520,Tops,206,210,423,426
19993637_deb3abc4e0700ba0e232bfa1dfde43c1.thumbnail.jpg,520,520,Shorts,184,403,365,501
38133505_94620a1906900aefd020d8636aafa98c.thumbnail.jpg,640,640,Lingerie,122,224,302,405
38133505_94620a1906900aefd020d8636aafa98c.thumbnail.jpg,640,640,Lingerie,376,216,556,395
38133505_94620a1906900aefd020d8636aafa98c.thumbnail.jpg,640,640,Shorts,95,461,318,595
38133505_94620a1906900aefd020d8636aafa98c.thumbnail.jpg,640,640,Shorts,342,461,567,615
39085306_e93e44877720552b2f05b3613183da85.thumbnail.jpg,640,640,Dresses,172,212,357,535
48886002_bf6b7acb5cb56b2c7a23fe76abd80e80.thumbnail.jpg,640,640,Shorts,124,281,218,374
48886002_bf6b7acb5cb56b2c7a23fe76abd80e80.thumbnail.jpg,640,640,Shorts,355,470,501,601
12084444_749bb9e364f548c6e8d53a8a81df9a23.thumbnail.jpg,640,640,Dresses,239,172,424,463
48122951_8850dfdf188adeca084206738b990424.thumbnail.jpg,640,640,Shorts,137,202,609,566
11361381_c0dc6ebfe7379938691287ddd7f04239.thumbnail.jpg,640,640,Lingerie,117,18,510,352
11361381_c0dc6ebfe7379938691287ddd7f04239.thumbnail.jpg,640,640,Lingerie,49,388,281,600
11361381_c0dc6ebfe7379938691287ddd7f04239.thumbnail.jpg,640,640,Lingerie,357,389,600,609
48296456_ebaa1e2f1af2b593f3959ef35611847a.thumbnail.jpg,640,640,Dresses,201,245,388,541
18045603_7ec216a6a807efb3b9a88cfd0176e0a2.thumbnail.jpg,640,640,Dresses,207,180,420,640
34847840_2ef61140ba038086b3ffa9a8532a6e99.thumbnail.jpg,600,600,Lingerie,193,188,374,507
48897650_96e123b31185b291d0a7aa8b0f7d56ce.thumbnail.jpg,640,640,Dresses,443,224,564,467
14340911_6deb36473218d01efe94f29ede38c2de.thumbnail.jpg,640,640,Dresses,126,134,277,304
14340911_6deb36473218d01efe94f29ede38c2de.thumbnail.jpg,640,640,Dresses,351,138,514,311
14340911_6deb36473218d01efe94f29ede38c2de.thumbnail.jpg,640,640,Dresses,409,439,551,621
14340911_6deb36473218d01efe94f29ede38c2de.thumbnail.jpg,640,640,Dresses,250,456,394,623
14340911_6deb36473218d01efe94f29ede38c2de.thumbnail.jpg,640,640,Dresses,82,444,234,637
39641029_2d04c2415adf5992aac8c251f925d93f.thumbnail.jpg,640,640,Pants_Leggings,127,175,238,450
39641029_2d04c2415adf5992aac8c251f925d93f.thumbnail.jpg,640,640,Pants_Leggings,429,290,523,511
13040390_f616bdce79c085d70cf2951ecbc0eef0.thumbnail.jpg,639,640,Dresses,205,50,440,552
16040657_2c079e608c99cb6b429b14fee0804eae.thumbnail.jpg,600,600,Lingerie,8,109,597,570
21370924_5237205dee2e32604e84c69b87ff7f80.thumbnail.jpg,640,640,Lingerie,255,290,418,584
21370924_5237205dee2e32604e84c69b87ff7f80.thumbnail.jpg,640,640,Lingerie,255,329,397,448
21370924_5237205dee2e32604e84c69b87ff7f80.thumbnail.jpg,640,640,Lingerie,259,516,408,593
17923639_d4bb6c98dde8a830d97408c08975fe49.thumbnail.jpg,624,624,Tops,23,99,247,385
17923639_d4bb6c98dde8a830d97408c08975fe49.thumbnail.jpg,624,624,Pants_Leggings,98,373,197,565
17923639_d4bb6c98dde8a830d97408c08975fe49.thumbnail.jpg,624,624,Tops,326,122,552,553
17923639_d4bb6c98dde8a830d97408c08975fe49.thumbnail.jpg,624,624,Pants_Leggings,373,538,514,624
10623302_0aff7f3da3b227233dd13913579acdb6.thumbnail.jpg,640,571,Pants_Leggings,227,370,440,571
17876622_d43f6aeba70cf03d95bf684b5d3689b0.thumbnail.jpg,394,394,Dresses,73,54,286,369
14188420_aeabe22c4123e345b6c8105d132a1665.thumbnail.jpg,640,640,Dresses,244,12,414,432
13409049_82d1e15627253269879c2909fa1801bd.thumbnail.jpg,640,640,Tops,80,1,227,96
13409049_82d1e15627253269879c2909fa1801bd.thumbnail.jpg,640,640,Tops,399,1,549,103
13409049_82d1e15627253269879c2909fa1801bd.thumbnail.jpg,640,640,Pants_Leggings,71,74,226,470
13409049_82d1e15627253269879c2909fa1801bd.thumbnail.jpg,640,640,Pants_Leggings,396,99,564,472
13615897_2862487d53341d1c7764867872bcec0c.thumbnail.jpg,640,640,Skirts,140,97,485,563
43404196_f568718cab968603d0d84888badacc63.thumbnail.jpg,300,300,Dresses,112,86,197,266
16243531_8173f99f2a4fc1fe403e539e7adc804e.thumbnail.jpg,640,640,Lingerie,245,276,336,488
11929673_b5f226f2b3387ae417c2718d1b5a32b9.thumbnail.jpg,640,640,Tops,255,118,399,311
11929673_b5f226f2b3387ae417c2718d1b5a32b9.thumbnail.jpg,640,640,Shorts,254,312,375,390
25804345_cb0923914c9f3c2336f1ee325e29ea10.thumbnail.jpg,400,400,Lingerie,39,49,374,361
38940307_bcb3c45ff52bf9d2b7aff11f541a4606.thumbnail.jpg,640,640,Dresses,378,181,509,376
38940307_bcb3c45ff52bf9d2b7aff11f541a4606.thumbnail.jpg,640,640,Dresses,194,198,387,441
18496081_92763a15807f1c3f8bf61ae36ef45091.thumbnail.jpg,640,640,Tops,78,239,251,401
18496081_92763a15807f1c3f8bf61ae36ef45091.thumbnail.jpg,640,640,Shorts,148,404,299,488
18496081_92763a15807f1c3f8bf61ae36ef45091.thumbnail.jpg,640,640,Tops,408,204,580,342
18496081_92763a15807f1c3f8bf61ae36ef45091.thumbnail.jpg,640,640,Shorts,360,313,504,445
3332558_fde3d5c36cd83584c059c62b586826ae.thumbnail.jpg,640,640,Skirts,220,16,565,581
20766941_d280788c8a228a25631f03db8770d5b6.thumbnail.jpg,360,640,Tops,99,248,347,484
3194263_af56d6d6d084b57e299efe4e6735ff65.thumbnail.jpg,436,640,Pants_Leggings,191,31,372,545
26595225_1246db07ab0fbc0dd1f311eec35d62c3.thumbnail.jpg,640,640,Tops,247,182,409,462
26595225_1246db07ab0fbc0dd1f311eec35d62c3.thumbnail.jpg,640,640,Shorts,224,439,407,528
48996610_6c9a5c8bd1042b1b70aaed16cebe496c.thumbnail.jpg,640,640,Skirts,184,171,422,456
16638366_9fff7a5634afd88ec9b6d26bede0e39b.thumbnail.jpg,640,457,Pants_Leggings,102,1,548,456
17780177_dd66d1bc2ef891eabbc947650955111f.thumbnail.jpg,640,640,Pants_Leggings,77,3,589,333
17780177_dd66d1bc2ef891eabbc947650955111f.thumbnail.jpg,640,640,Pants_Leggings,137,563,296,640
17780177_dd66d1bc2ef891eabbc947650955111f.thumbnail.jpg,640,640,Pants_Leggings,417,528,573,640
39749767_74955d4517b8e058a6fcca23fafe2ef4.thumbnail.jpg,640,640,Tops,64,57,487,626
10268834_55e31c48956348cb61924ba06f7f47c2.thumbnail.jpg,640,640,Pants_Leggings,223,112,455,442
14172790_b0b4c2899f7ef611fba2e44f98c1d9b1.thumbnail.jpg,600,600,Lingerie,169,179,382,510
29370418_bdee2c3f715df049ef5470f1c3808dcf.thumbnail.jpg,640,640,Lingerie,287,309,486,596
29370418_bdee2c3f715df049ef5470f1c3808dcf.thumbnail.jpg,640,640,Lingerie,297,315,486,419
44282038_3a05a94cbcd38715f05cb9773f4ffe50.thumbnail.jpg,640,640,Dresses,228,247,430,586
3199642_fb15f2bbc0fb15f5991417fd2574b487.thumbnail.jpg,500,640,Pants_Leggings,169,36,376,516
48938000_5f93c17b48ff353e578ec1a1df86fdd3.thumbnail.jpg,640,640,Pants_Leggings,329,270,412,514
41147571_529b53ceacf206a2de1ee103b44d1a91.thumbnail.jpg,640,640,Dresses,189,239,388,586
45733317_07cd01ccbc814ad13159f0af2f9d2ac0.thumbnail.jpg,640,640,Dresses,261,111,427,406
14618864_b01d969ac8085768ff6fb4fa912779da.thumbnail.jpg,640,640,Dresses,151,52,436,640
25735837_7aa054a5bbe4a79722d975eccc7fa6de.thumbnail.jpg,559,559,Dresses,174,186,390,559
33931219_579b12b6abe5e8c1cbaeb1cb2f2de248.thumbnail.jpg,331,331,Pants_Leggings,112,47,185,219
27697320_5ba62b106b18a24ac800993ae4b3f014.thumbnail.jpg,640,640,Tops,253,143,390,258
27697320_5ba62b106b18a24ac800993ae4b3f014.thumbnail.jpg,640,640,Skirts,215,255,382,529
15168477_3283c957d5c7610d10330ddf8b6ad059.thumbnail.jpg,640,640,Tops,106,274,487,632
14271997_d88d4ccdc7c5a06d1dcd6df7687c0657.thumbnail.jpg,640,640,Pants_Leggings,109,194,222,497
14271997_d88d4ccdc7c5a06d1dcd6df7687c0657.thumbnail.jpg,640,640,Pants_Leggings,307,173,593,570
14980588_83f5e36e0ec694538f94ba72baeb0672.thumbnail.jpg,635,635,Tops,130,51,451,450
14980588_83f5e36e0ec694538f94ba72baeb0672.thumbnail.jpg,635,635,Shorts,203,404,449,588
1652029_11155890bbf7d3828c85207e5332b1d1.thumbnail.jpg,640,640,Shorts,184,29,604,289
1652029_11155890bbf7d3828c85207e5332b1d1.thumbnail.jpg,640,640,Shorts,17,344,468,627
36903585_a00443d1f7fb7238926cc7200a6c3cbd.thumbnail.jpg,640,640,Dresses,182,46,584,589
17612286_fcef5c4552df32a8bcaeff224df3c4f0.thumbnail.jpg,640,640,Dresses,56,158,235,403
17612286_fcef5c4552df32a8bcaeff224df3c4f0.thumbnail.jpg,640,640,Dresses,424,140,577,412
5828534_879f7dc022b2d50a11ee270d6b70dec9.thumbnail.jpg,500,500,Dresses,23,12,319,467
3690873_f4fa062e76cd07eda1672f2803f2aa55.thumbnail.jpg,637,640,Skirts,154,45,536,510
32986743_954c2262a668761041c47b1019127967.thumbnail.jpg,411,411,Pants_Leggings,164,61,296,404
